Title,clean_text
.NET Developer,.net developer c vb.net basic .net framework .net core fundamental asp.net mvc html css javascript basic sql server entity framework basic linq visual studio git unit test basic assist cod debug application learn apply .net framework core fundamental support team build asp.net mvc web application write basic sql query work entity framework collaborate peer solve issue participate code review learning follow good practice coding work version control git .net c asp.net mvc entity framework sql server linq visual studio unit testing
.NET Developer,.net developer c .net framework basic asp.net razor html css javascript basic sql server entity framework basic nunit basic write simple c program guidance support development asp.net mvc application implement razor view end logic assist database query writing participate unit testing task learn apply linq datum operation work mentor code correction .net c asp.net mvc entity framework sql server razor unit testing
.NET Developer,.net developer c vb.net basic .net core asp.net mvc html css javascript basic sql server git contribute development small module assist bug fixing debugging learn implement mvc pattern support database integration task understand version control basic work minor testing script follow cod standard .net c asp.net mvc sql server entity framework git
.NET Developer,.net developer c .net framework asp.net basic sql server html css linq visual studio support software design documentation assist senior developer testing create small ui component debug test application implement basic linq query participate code maintenance .net c sql server entity framework asp.net
.NET Developer,.net developer c asp.net mvc entity framework basic sql server html css javascript basic learn design build asp.net application assist connect app sql server work ui development participate daily standup write small unit test case .net c asp.net mvc entity framework sql server
.NET Developer,.net developer c .net framework asp.net razor sql server git nunit basic assist razor page development learn version control process perform debug supervision support datum access layer coding contribute testing effort .net c asp.net razor sql server unit testing
.NET Developer,.net developer c vb.net .net core basic asp.net mvc html css sql server visual studio support team mvc project development help resolve minor bug write basic sql query collaborate developer task participate project discussion .net c asp.net mvc sql server
.NET Developer,.net developer c .net framework basic asp.net mvc entity framework basic sql server linq assist build backend module learn apply entity framework help write linq query support bug fixing write basic documentation .net c asp.net mvc entity framework linq sql server
.NET Developer,.net developer c .net framework asp.net html css sql server write simple asp.net page collaborate design team assist database operation perform code review senior learn mvc pattern .net c asp.net sql server
.NET Developer,.net developer c asp.net mvc .net core basic entity framework basic sql server git support new feature development assist application configuration help database schema setup perform small unit testing task follow agile methodology basic .net c asp.net mvc entity framework sql server git
.NET Developer,.net developer c .net core asp.net mvc sql server entity framework rest apis docker azure design develop advanced .net application implement microservice asp.net core manage sql server database performance develop rest apis deploy application docker integrate azure cloud service .net core c asp.net mvc microservice azure entity framework rest apis docker
.NET Developer,.net developer c asp.net core sql server entity framework design pattern solid principle azure devop architect scalable .net core solution implement design pattern project lead database optimization effort manage ci cd pipeline azure devop collaborate cross functional team .net core c asp.net mvc solid azure devop entity framework
